word,c1,c2,c3,c4,c5,score
saree,s,a,r,e,e,6594
soree,s,o,r,e,e,6471
sooey,s,o,o,e,y,6177
siree,s,i,r,e,e,5988
boree,b,o,r,e,e,5936
samey,s,a,m,e,y,5926
cooee,c,o,o,e,e,5906
sared,s,a,r,e,d,5896
raree,r,a,r,e,e,5868
laree,l,a,r,e,e,5808
sored,s,o,r,e,d,5773
corey,c,o,r,e,y,5760
doree,d,o,r,e,e,5759
savey,s,a,v,e,y,5755
saned,s,a,n,e,d,5740
semee,s,e,m,e,e,5726
ranee,r,a,n,e,e,5712
cooey,c,o,o,e,y,5686
sorer,s,o,r,e,r,5623
coney,c,o,n,e,y,5604
donee,d,o,n,e,e,5603
cadee,c,a,d,e,e,5600
saner,s,a,n,e,r,5590
boney,b,o,n,e,y,5560
sated,s,a,t,e,d,5554
salet,s,a,l,e,t,5544
poney,p,o,n,e,y,5533
sesey,s,e,s,e,y,5524
soled,s,o,l,e,d,5517
saine,s,a,i,n,e,5505
coley,c,o,l,e,y,5504
toney,t,o,n,e,y,5482
sered,s,e,r,e,d,5476
soare,s,o,a,r,e,5467
gooey,g,o,o,e,y,5452
caaed,c,a,a,e,d,5451
mamee,m,a,m,e,e,5444
poley,p,o,l,e,y,5433
sorel,s,o,r,e,l,5426
ramee,r,a,m,e,e,5420
payee,p,a,y,e,e,5413
baaed,b,a,a,e,d,5407
cared,c,a,r,e,d,5405
money,m,o,n,e,y,5393
looey,l,o,o,e,y,5391
belee,b,e,l,e,e,5383
soler,s,o,l,e,r,5367
cagey,c,a,g,e,y,5363
bared,b,a,r,e,d,5361
sabed,s,a,b,e,d,5356
ragee,r,a,g,e,e,5348
topee,t,o,p,e,e,5335
pared,p,a,r,e,d,5334
matey,m,a,t,e,y,5330
cosey,c,o,s,e,y,5330
serer,s,e,r,e,r,5326
hooey,h,o,o,e,y,5323
soole,s,o,o,l,e,5322
puree,p,u,r,e,e,5320
saice,s,a,i,c,e,5318
saser,s,a,s,e,r,5316
waney,w,a,n,e,y,5314
caret,c,a,r,e,t,5309
soote,s,o,o,t,e,5307
sired,s,i,r,e,d,5290
sawed,s,a,w,e,d,5288
tared,t,a,r,e,d,5283
cored,c,o,r,e,d,5282
sarge,s,a,r,g,e,5282
sonne,s,o,n,n,e,5279
saved,s,a,v,e,d,5277
sayed,s,a,y,e,d,5277
spree,s,p,r,e,e,5275
pacey,p,a,c,e,y,5269
salle,s,a,l,l,e,5263
posey,p,o,s,e,y,5259
cakey,c,a,k,e,y,5258
carer,c,a,r,e,r,5255
caned,c,a,n,e,d,5249
rakee,r,a,k,e,e,5243
honey,h,o,n,e,y,5241
maaed,m,a,a,e,d,5240
ainee,a,i,n,e,e,5240
bored,b,o,r,e,d,5238
foley,f,o,l,e,y,5238
salse,s,a,l,s,e,5238
sager,s,a,g,e,r,5226
mamey,m,a,m,e,y,5224
scree,s,c,r,e,e,5224
melee,m,e,l,e,e,5216
sonse,s,o,n,s,e,5215
parae,p,a,r,a,e,5213
satay,s,a,t,a,y,5213
barer,b,a,r,e,r,5211
pored,p,o,r,e,d,5211
besee,b,e,s,e,e,5209
cooed,c,o,o,e,d,5208
motey,m,o,t,e,y,5207
saber,s,a,b,e,r,5206
baned,b,a,n,e,d,5205
gamey,g,a,m,e,y,5201
sorry,s,o,r,r,y,5201
safed,s,a,f,e,d,5196
bogey,b,o,g,e,y,5196
gelee,g,e,l,e,e,5193
saute,s,a,u,t,e,5190
parer,p,a,r,e,r,5184
dared,d,a,r,e,d,5184
sured,s,u,r,e,d,5184
paned,p,a,n,e,d,5178
razee,r,a,z,e,e,5173
rared,r,a,r,e,d,5170
seare,s,e,a,r,e,5170
pogey,p,o,g,e,y,5169
sowed,s,o,w,e,d,5165
booed,b,o,o,e,d,5164
samen,s,a,m,e,n,5155
holey,h,o,l,e,y,5141
covey,c,o,v,e,y,5141
fared,f,a,r,e,d,5139
sawer,s,a,w,e,r,5138
