words,c1,c2,c3,c4,c5,score
slate,s,l,a,t,e,1437
sauce,s,a,u,c,e,1411
slice,s,l,i,c,e,1409
shale,s,h,a,l,e,1403
saute,s,a,u,t,e,1398
share,s,h,a,r,e,1393
sooty,s,o,o,t,y,1392
shine,s,h,i,n,e,1382
suite,s,u,i,t,e,1381
crane,c,r,a,n,e,1378
saint,s,a,i,n,t,1371
soapy,s,o,a,p,y,1366
shone,s,h,o,n,e,1360
shire,s,h,i,r,e,1352
saucy,s,a,u,c,y,1351
slave,s,l,a,v,e,1344
cease,c,e,a,s,e,1342
sense,s,e,n,s,e,1342
saner,s,a,n,e,r,1339
snare,s,n,a,r,e,1336
stale,s,t,a,l,e,1336
crate,c,r,a,t,e,1335
spree,s,p,r,e,e,1332
shore,s,h,o,r,e,1330
suave,s,u,a,v,e,1329
slide,s,l,i,d,e,1326
stare,s,t,a,r,e,1326
slime,s,l,i,m,e,1325
sorry,s,o,r,r,y,1324
brace,b,r,a,c,e,1323
shiny,s,h,i,n,y,1322
gooey,g,o,o,e,y,1320
seize,s,e,i,z,e,1318
crone,c,r,o,n,e,1315
sleet,s,l,e,e,t,1315
state,s,t,a,t,e,1313
brine,b,r,i,n,e,1312
scree,s,c,r,e,e,1311
shade,s,h,a,d,e,1310
space,s,p,a,c,e,1310
spare,s,p,a,r,e,1310
shame,s,h,a,m,e,1309
slant,s,l,a,n,t,1309
sally,s,a,l,l,y,1308
scale,s,c,a,l,e,1299
spine,s,p,i,n,e,1299
trace,t,r,a,c,e,1299
shake,s,h,a,k,e,1296
stone,s,t,o,n,e,1293
tease,t,e,a,s,e,1293
shape,s,h,a,p,e,1291
scare,s,c,a,r,e,1289
shave,s,h,a,v,e,1287
salty,s,a,l,t,y,1285
sassy,s,a,s,s,y,1285
slope,s,l,o,p,e,1285
since,s,i,n,c,e,1283
poise,p,o,i,s,e,1282
swine,s,w,i,n,e,1282
boney,b,o,n,e,y,1273
snore,s,n,o,r,e,1273
stole,s,t,o,l,e,1273
sadly,s,a,d,l,y,1271
raise,r,a,i,s,e,1270
arise,a,r,i,s,e,1269
spice,s,p,i,c,e,1269
spire,s,p,i,r,e,1269
peace,p,e,a,c,e,1267
grace,g,r,a,c,e,1265
slimy,s,l,i,m,y,1265
store,s,t,o,r,e,1263
cause,c,a,u,s,e,1262
crier,c,r,i,e,r,1261
prone,p,r,o,n,e,1259
sheet,s,h,e,e,t,1258
trice,t,r,i,c,e,1258
blare,b,l,a,r,e,1257
plane,p,l,a,n,e,1256
scone,s,c,o,n,e,1256
smile,s,m,i,l,e,1256
spite,s,p,i,t,e,1256
crony,c,r,o,n,y,1255
briny,b,r,i,n,y,1252
grate,g,r,a,t,e,1252
salve,s,a,l,v,e,1252
cagey,c,a,g,e,y,1251
price,p,r,i,c,e,1251
shady,s,h,a,d,y,1250
stage,s,t,a,g,e,1250
clone,c,l,o,n,e,1249
prose,p,r,o,s,e,1248
arose,a,r,o,s,e,1247
spore,s,p,o,r,e,1247
skate,s,k,a,t,e,1246
siege,s,i,e,g,e,1245
surer,s,u,r,e,r,1245
trite,t,r,i,t,e,1245
chase,c,h,a,s,e,1244
crave,c,r,a,v,e,1242
sandy,s,a,n,d,y,1242
erase,e,r,a,s,e,1241
serve,s,e,r,v,e,1241
surly,s,u,r,l,y,1241
scaly,s,c,a,l,y,1239
snake,s,n,a,k,e,1239
spiny,s,p,i,n,y,1239
close,c,l,o,s,e,1238
sunny,s,u,n,n,y,1237
shaky,s,h,a,k,y,1236
goose,g,o,o,s,e,1233
puree,p,u,r,e,e,1233
smite,s,m,i,t,e,1233
stony,s,t,o,n,y,1233
lease,l,e,a,s,e,1232
shalt,s,h,a,l,t,1232
sober,s,o,b,e,r,1232
swore,s,w,o,r,e,1230
scary,s,c,a,r,y,1229
stake,s,t,a,k,e,1229
drone,d,r,o,n,e,1228
solve,s,o,l,v,e,1227
spade,s,p,a,d,e,1227
brake,b,r,a,k,e,1226
place,p,l,a,c,e,1226
score,s,c,o,r,e,1226
moose,m,o,o,s,e,1225
safer,s,a,f,e,r,1225
shove,s,h,o,v,e,1224
crime,c,r,i,m,e,1223
fairy,f,a,i,r,y,1222
borne,b,o,r,n,e,1221
rainy,r,a,i,n,y,1221
flare,f,l,a,r,e,1220
stave,s,t,a,v,e,1220
seedy,s,e,e,d,y,1218
brave,b,r,a,v,e,1217
payee,p,a,y,e,e,1217
sheer,s,h,e,e,r,1217
craze,c,r,a,z,e,1216
daisy,d,a,i,s,y,1216
trade,t,r,a,d,e,1216
savoy,s,a,v,o,y,1215
sieve,s,i,e,v,e,1215
surge,s,u,r,g,e,1215
teary,t,e,a,r,y,1214
plate,p,l,a,t,e,1213
shied,s,h,i,e,d,1212
