words,turns,guesses
slate,1,"[[1, 'slate', 'ggggg']]"
sauce,2,"[[1, 'slate', 'gbybg'], [2, 'sauce', 'ggggg']]"
slice,2,"[[1, 'slate', 'ggbbg'], [2, 'slice', 'ggggg']]"
shale,2,"[[1, 'slate', 'gygbg'], [2, 'shale', 'ggggg']]"
saute,2,"[[1, 'slate', 'gbygg'], [2, 'saute', 'ggggg']]"
share,2,"[[1, 'slate', 'gbgbg'], [2, 'share', 'ggggg']]"
sooty,3,"[[1, 'slate', 'gbbgb'], [2, 'sooth', 'ggggb'], [3, 'sooty', 'ggggg']]"
shine,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gyybg'], [4, 'shine', 'ggggg']]"
suite,3,"[[1, 'slate', 'gbbgg'], [2, 'smite', 'gbggg'], [3, 'suite', 'ggggg']]"
crane,5,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bggbg'], [3, 'brake', 'bggbg'], [4, 'craze', 'gggbg'], [5, 'crane', 'ggggg']]"
saint,3,"[[1, 'slate', 'gbyyb'], [2, 'stray', 'gybyb'], [3, 'saint', 'ggggg']]"
soapy,4,"[[1, 'slate', 'gbgbb'], [2, 'shark', 'gbgbb'], [3, 'swamp', 'gbgby'], [4, 'soapy', 'ggggg']]"
shone,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbgbg'], [3, 'shone', 'ggggg']]"
shire,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbgg'], [3, 'shire', 'ggggg']]"
saucy,2,"[[1, 'slate', 'gbybb'], [2, 'saucy', 'ggggg']]"
slave,2,"[[1, 'slate', 'gggbg'], [2, 'slave', 'ggggg']]"
cease,3,"[[1, 'slate', 'ybgbg'], [2, 'chase', 'gbggg'], [3, 'cease', 'ggggg']]"
sense,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gbgbg'], [4, 'sense', 'ggggg']]"
saner,3,"[[1, 'slate', 'gbyby'], [2, 'spear', 'gbyyg'], [3, 'saner', 'ggggg']]"
snare,4,"[[1, 'slate', 'gbgbg'], [2, 'share', 'gbggg'], [3, 'spare', 'gbggg'], [4, 'snare', 'ggggg']]"
stale,2,"[[1, 'slate', 'gygyg'], [2, 'stale', 'ggggg']]"
crate,2,"[[1, 'slate', 'bbggg'], [2, 'crate', 'ggggg']]"
spree,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'ggbyg'], [3, 'spree', 'ggggg']]"
shore,3,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbggg'], [3, 'shore', 'ggggg']]"
suave,5,"[[1, 'slate', 'gbgbg'], [2, 'share', 'gbgbg'], [3, 'spade', 'gbgbg'], [4, 'snake', 'gbgbg'], [5, 'suave', 'ggggg']]"
slide,3,"[[1, 'slate', 'ggbbg'], [2, 'slice', 'gggbg'], [3, 'slide', 'ggggg']]"
stare,2,"[[1, 'slate', 'gbgyg'], [2, 'stare', 'ggggg']]"
slime,4,"[[1, 'slate', 'ggbbg'], [2, 'slice', 'gggbg'], [3, 'slide', 'gggbg'], [4, 'slime', 'ggggg']]"
sorry,3,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'gbybb'], [3, 'sorry', 'ggggg']]"
brace,4,"[[1, 'slate', 'bbgbg'], [2, 'grave', 'bggbg'], [3, 'brake', 'gggbg'], [4, 'brace', 'ggggg']]"
shiny,4,"[[1, 'slate', 'gbbbb'], [2, 'shook', 'ggbbb'], [3, 'shrug', 'ggbbb'], [4, 'shiny', 'ggggg']]"
gooey,5,"[[1, 'slate', 'bbbby'], [2, 'fever', 'bbbgb'], [3, 'boney', 'bgbgg'], [4, 'dopey', 'bgbgg'], [5, 'gooey', 'ggggg']]"
seize,4,"[[1, 'slate', 'gbbbg'], [2, 'spore', 'gbbbg'], [3, 'singe', 'gybbg'], [4, 'seize', 'ggggg']]"
crone,3,"[[1, 'slate', 'bbbbg'], [2, 'price', 'bgbyg'], [3, 'crone', 'ggggg']]"
sleet,2,"[[1, 'slate', 'ggbyy'], [2, 'sleet', 'ggggg']]"
state,2,"[[1, 'slate', 'gbggg'], [2, 'state', 'ggggg']]"
